date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,6.4,1,12,,,,9.2,,1019,
2021-01-02,5,-1.3,12.4,0,,64,5.5,,1024.4,
2021-01-03,3.7,-1.2,10,0,,92,8.4,,1024.7,
2021-01-04,2.2,-4.7,10,0,,73,9.7,,1021.3,
2021-01-05,4.8,2,8,5,,85,13.8,,1018.2,
2021-01-06,2.7,0,5,0,,91,11,,1024.5,
2021-01-07,4.8,3.8,6.1,0,,92,14.8,,1022.3,
2021-01-08,7.2,3.2,16,0,,88,11,,1018.7,
2021-01-09,8.2,4.7,12,3.3,,81,11.4,,1017.5,
2021-01-10,9.4,6.2,13,2.4,,69,4.7,,1019,
2021-01-11,10.4,5,18,0,,166,7.7,,1019.3,
2021-01-12,12.9,7,19,0,,120,12.2,,1013.5,
2021-01-13,4.8,0.5,13.4,18.6,,346,8,,1005.2,
2021-01-14,1.3,-2,4,1.7,,283,11.1,,1006.3,
2021-01-15,-2,-7,0.1,4.9,,353,8.1,,1011.3,
2021-01-16,-4,-10,0,3.6,,77,10.5,,1009.2,
2021-01-17,-2.7,-6,-1.7,3.7,,277,19.9,,1007.4,
2021-01-18,-6.9,-13,-4,0.8,,295,8,,1017.3,
2021-01-19,-12.8,-18,-5,0,,353,1.1,,1022.8,
2021-01-20,-10.5,-16,-5,0,,29,4.2,,1027.8,
2021-01-21,-4.3,-8,0,0,,90,7.1,,1033.1,
2021-01-22,-1.3,-5.6,2,0,,86,12.3,,1030.1,
2021-01-23,1.5,-2.1,5,0,,81,15.2,,1024,
2021-01-24,4.6,0.8,11,0,,108,14.3,,1017.5,
2021-01-25,7.4,4.7,11,1.9,,138,13.3,,1013.2,
2021-01-26,9.4,5,13,0,,132,14.3,,1012.1,
2021-01-27,6.7,-1,10,11,,147,22.8,,1001.8,
2021-01-28,-1.5,-2.3,0.3,2.1,,282,9.5,,1009.1,
2021-01-29,-2.2,-7,2,0,,256,6.3,,1013.9,
2021-01-30,-0.5,-2,1.3,5.6,,78,15.4,,1007.1,
2021-01-31,3.4,-2,10,0.2,,56,9.3,,1012.1,
2021-02-01,7.3,3,15.1,0,,99,18.1,,1014.6,
2021-02-02,9.3,4,14.8,0,,104,10.8,,1017,
2021-02-03,7.5,0,15,0,,77,4.6,,1018.3,
2021-02-04,6.1,-2,16,0,,330,4.3,,1017.9,
2021-02-05,7.2,1.4,15,0,,277,5.5,,1021,
2021-02-06,5.2,-3,16,0,,37,3,,1019.7,
2021-02-07,6.6,-3,17,0,,64,4.1,,1018.2,
2021-02-08,10.2,5.5,19,0.1,,105,10.3,,1014.6,
